what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1515907967613
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907973960
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908005787
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515908005872
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515908005887
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1515908009574
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515908012204
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515908012776
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908041295
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908043638
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908116173
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908182526
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515908190202
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908195394
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908197989
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515908198421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908201540
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908205384
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1515908289031
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1515908523564
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1515908525089
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1515908526005
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515908556211
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908558769
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908560516
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908560764
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908571912
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515908581223
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908582673
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908583747
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908583916
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908591447
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515908597682
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908599198
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908600545
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908600698
started,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1515908608024
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1515908608071
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1515908622163
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1515908622263
started,bundle,org.eclipse.core.externaltools,1.0.0.v20100505,"org.eclipse.core.externaltools",1515908622436
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1515908622631
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1515908622701
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908626611
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515908628630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908629969
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908632131
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908632279
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908643179
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1515908644694
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515908652253
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515908652688
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515908825548
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1515908827860
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1515908833619
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515908835097
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515908839448
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1515908856203
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1515908866522
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908871239
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908880724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908885558
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908911148
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515908911836
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1515908912537
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1515908914136
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908929258
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908943039
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1515908945839
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908947912
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515908948677
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908948746
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1515908948746
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908955108
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908964968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908971754
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908972173
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1515908972195
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908979202
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515908997249
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515908997349
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515908997364
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1515909012588
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1515909052933
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515909095847
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515909112909
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515909137540
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909150255
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909152354
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1515909152917
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909195547
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909199775
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1515909199793
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1515909199793
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515909243854
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515909247254
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515909251097
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515909260849
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515909276142
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515909422133
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515909435175
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1515909438355
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515909442631
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515909462707
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909467343
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909488277
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909509853
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909514199
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.properties",1515909514221
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1515909528999
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515909535771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909545337
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909545542
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909545689
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909550643
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909563015
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909566046
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515909581148
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909588188
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909613180
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515909630330
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909634572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909639061
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1515909679434
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1515909679759
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515909704829
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1515909708948
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909728467
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909728667
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909728789
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909734666
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1515909759274
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1515909773666
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909776935
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909814487
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909818662
started,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1515909834663
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1515909834794
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1515909834948
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909848872
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515909855589
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1515909884983
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515909890925
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909894354
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909894538
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909894670
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909924081
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1515909931842
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909934075
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909953436
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909958796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909967489
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515909969929
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1515909977478
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1515909977809
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1515909977994
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1515909978194
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1515909979041
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1515909988264
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1515909988296
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.open.editor",1515909988296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515909990051
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910002182
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515910004614
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1515910004614
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.open.editor",1515910008097
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.open.editor",1515910009212
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1515910012648
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1515910012679
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.open.editor",1515910012711
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910013967
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1515910013983
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910170073
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515910172334
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1515910172334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910177961
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910178162
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910178293
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910183070
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1515910191487
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1515910191856
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1515910201426
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1515910212345
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1515910214557
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910217633
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910219299
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1515910222151
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515910222483
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1515910239909
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1515910252785
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1515910254596
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1515910260281
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910264461
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910266479
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515910353257
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910358642
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910362846
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910382110
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515910384421
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1515910384437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1515910384437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515910433150
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515910441618
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515910494075
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1515910507178
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1515910534778
